feature_set,group,metric,n_cells,min,median,mean,max,best_cell_min,worst_cell_max
imaging_demographics,external_transfer,mean_abs_cBAG,12,2.135614869360866,10.49265184234665,13.391390374655865,31.640698620956677,ADNI→HABS,AD_DECODE→HABS
imaging_demographics,external_transfer,cBAG_age_slope,12,-0.0974567401562391,-0.02417747945834895,0.007959034970433697,0.2086943089521437,AD_DECODE→HABS,HABS→ADNI
imaging_only,diagonal_oof,MAE_raw,4,4.723538352295813,6.554874106097902,6.896646148398666,9.753298029103052,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_only,diagonal_oof,RMSE_raw,4,5.882814541577577,8.628527912831766,8.925333331465554,12.561462958621108,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_only,diagonal_oof,R2_raw,4,0.1117612875047099,0.234699435170308,0.23084830480490406,0.3422330613742904,ADRC→ADRC,HABS→HABS
imaging_only,diagonal_oof,r_raw,4,0.3602809197509071,0.47864597870508274,0.4758762914997819,0.585932288838055,ADRC→ADRC,HABS→HABS
imaging_only,diagonal_oof,mean_abs_cBAG,4,1.7925000797320856,3.2877668094977635,3.3661834628850875,5.096700152812739,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_only,diagonal_oof,cBAG_age_slope,4,-4.582848347466177e-16,3.751017049411477e-18,9.970484251781281e-17,8.49602170719046e-16,ADNI→ADNI,HABS→HABS
imaging_only,external_transfer,MAE_raw,12,8.821250006656356,17.393819027663042,30.461774615766974,80.57254174162473,ADNI→HABS,AD_DECODE→ADNI
imaging_only,external_transfer,RMSE_raw,12,10.798585864212288,22.67682127575376,38.373280262944725,81.29358354300831,ADNI→HABS,HABS→ADRC
imaging_only,external_transfer,R2_raw,12,-156.8456471945479,-6.781267456492621,-28.445951929272667,-0.1512169565461822,AD_DECODE→ADNI,ADRC→AD_DECODE
imaging_only,external_transfer,r_raw,12,-0.0243520172675299,0.17122282849746934,0.21318221797754325,0.5139197687941254,HABS→ADRC,ADRC→HABS
imaging_only,external_transfer,mean_abs_cBAG,12,2.333381582059385,8.17590666371927,19.818801179594207,65.55857274060683,ADNI→HABS,AD_DECODE→HABS
imaging_only,external_transfer,cBAG_age_slope,12,-0.4886114075469382,-0.1098631132619762,-0.09892205154505791,0.2264090248470985,HABS→ADRC,HABS→ADNI
